Stage,Asset Type,Name,Space,Water Quality,Diversity,Size,Notes
1 - Child,Fish,Clownfish,1,-2,1,2,"His name is Marlin, after Finding Nemo! Remember, fish are friends, not food."
1 - Child,Fish,White Clownfish,1,-2,1,2,"His name is Marlin, after Finding Nemo! Remember, fish are friends, not food."
1 - Child,Decoration,Rock,1,0,1,4,Mom told me to never take rocks from the ocean — leave nature as you found it!
1 - Child,Decoration,Seaweed,1,2,1,4,Did ya know that seaweed is not a plant? It's actually an algae!
1 - Child,Environment,Fish Bowl,,,,,
1 - Child,Environment,Background,,,,,
1 - Child,Miscellaneous,Cutscene,,,,,
2 - Teenager,Fish,Blue Tang,3,-1,1,10,Blue Tang can make themselves semi-transparent to evade predators. Fish are really so cool!
2 - Teenager,Fish,Hawkfish,2,-1,1,4,"Hawkfish are an aggressive species. Just like in real life, there are fish bullies."
2 - Teenager,Fish,Sea Butterfly,1,-1,1,0.5,"Sea butterflies are sensitive, yet beautiful creatures. "
2 - Teenager,Fish,Purple Sea Snail,1,1,1,1,Sea snails are supposed to be a delicacy.  Yuck.
2 - Teenager,Fish,Blue Sea Snail,1,1,1,1,Sea snails are supposed to be a delicacy.  Yuck.
2 - Teenager,Fish,Orange Sea Snail,1,1,1,1,Sea snails are supposed to be a delicacy.  Yuck.
2 - Teenager,Fish,Clownfish,2,-1,1,,"His name is Marlin, after Finding Nemo! Remember, fish are friends, not food."
2 - Teenager,Fish,White Clownfish,2,-1,1,2,"His name is Marlin, after Finding Nemo! Remember, fish are friends, not food."
2 - Teenager,Fish,Cherry Shrimp,1,1,1,,"I'm sweet like a cherry but don't eat me! I have a pit, it's my heart!"
2 - Teenager,Decoration,Rocky Cave,1,0,1,,A lil' hang out spot for my fish!
2 - Teenager,Decoration,Seaweed Patch,1,4,1,,Mom makes me seaweed soup whenever I'm sick.
2 - Teenager,Decoration,Capnella Coral,2,2,1,,Coral derives its color from algae and protein pigments. 
2 - Teenager,Decoration,Rocks,1,0,1,,Taking care of fish is so therapeutic. I hope I can do this as a job one day.
